"SEX","ORIGIN","RACE","YEAR","TOTAL_POP","POP_0","POP_1","POP_2","POP_3","POP_4","POP_5","POP_6","POP_7","POP_8","POP_9","POP_10","POP_11","POP_12","POP_13","POP_14","POP_15","POP_16","POP_17","POP_18","POP_19","POP_20","POP_21","POP_22","POP_23","POP_24","POP_25","POP_26","POP_27","POP_28","POP_29","POP_30","POP_31","POP_32","POP_33","POP_34","POP_35","POP_36","POP_37","POP_38","POP_39","POP_40","POP_41","POP_42","POP_43","POP_44","POP_45","POP_46","POP_47","POP_48","POP_49","POP_50","POP_51","POP_52","POP_53","POP_54","POP_55","POP_56","POP_57","POP_58","POP_59","POP_60","POP_61","POP_62","POP_63","POP_64","POP_65","POP_66","POP_67","POP_68","POP_69","POP_70","POP_71","POP_72","POP_73","POP_74","POP_75","POP_76","POP_77","POP_78","POP_79","POP_80","POP_81","POP_82","POP_83","POP_84","POP_85","POP_86","POP_87","POP_88","POP_89","POP_90","POP_91","POP_92","POP_93","POP_94","POP_95","POP_96","POP_97","POP_98","POP_99","POP_100"
0,0,0,2026,346285168,4147005,4156509,4166037,4171521,4173003,4171015,4166243,4158663,4149134,4138547,4079250,4106132,4102106,4092488,4100908,4151654,4158594,4174064,4321654,4363772,4354820,4368722,4403903,4399453,4407022,4528013,4609264,4558936,4571770,4590021,4622419,4706898,4782215,4831592,4929378,4989947,4956030,4749766,4621155,4525374,4522009,4533243,4377135,4421895,4402608,4340427,4404871,4127554,4032741,3974994,3844061,3940775,3803882,3844112,3996925,4203629,4237208,4006487,3909309,3899917,3954722,4169309,4223757,4197680,4164206,4185501,4186918,4015121,3955548,3873634,3696541,3622528,3431409,3256024,3082243,2938091,2814392,2675422,2584234,2621256,1884606,1797508,1684803,1648175,1369388,1183547,1051162,921203,815258,688421,596179,512911,408405,346269,285776,231935,186763,139060,105779,77052,123653
0,0,0,2027,348482162,4150167,4160892,4171546,4178795,4182726,4183593,4181694,4177332,4170342,4161246,4150603,4091064,4117762,4114133,4105777,4117041,4172234,4184660,4205919,4357909,4402863,4395309,4409514,4444304,4439106,4445520,4564799,4644023,4591741,4602098,4617694,4646855,4728203,4800745,4848112,4944013,5002699,4966991,4759574,4629613,4532326,4527081,4536765,4379790,4423452,4402950,4339177,4400933,4122040,4025196,3965675,3833613,3928766,3791833,3831248,3982620,4187295,4219488,3988760,3890554,3879319,3931219,4141056,4191619,4162250,4125402,4142447,4139489,3965652,3902277,3816434,3636580,3557720,3363840,3185479,3008716,2860799,2732644,2589465,2492083,2516777,1801025,1708273,1590998,1545166,1273624,1091618,960610,833330,729323,608305,519699,440547,345155,287571,232884,185194,145904,106123,78747,128026
0,0,0,2028,350642588,4151970,4164304,4176070,4184424,4190099,4193405,4194358,4192860,4189096,4182541,4173383,4162510,4102737,4129854,4127522,4122039,4137823,4198546,4216826,4242666,4397428,4443774,4436588,4450421,4484419,4478052,4482883,4600053,4677118,4622414,4630096,4642457,4668562,4747126,4817626,4863203,4957121,5013905,4976685,4768125,4636683,4537745,4530969,4539355,4381784,4424072,4401804,4335872,4394670,4114498,4016027,3955079,3822483,3916411,3779588,3818166,3967881,4170363,4200858,3970011,3870495,3856996,3905523,4110192,4156825,4124037,4083651,4096410,4089018,3912943,3845420,3755218,3572310,3488313,3291657,3110253,2930387,2778537,2645677,2498011,2393728,2405461,1712331,1613870,1492339,1437781,1175285,998224,869629,746031,644965,530746,446795,372732,286982,234649,186208,144888,111524,79130,132009
0,0,0,2029,352762808,4152650,4166350,4179618,4189064,4195827,4200867,4204254,4205611,4204709,4201380,4194762,4185370,4174284,4114880,4143317,4143899,4142975,4164384,4231014,4253925,4282709,4438779,4485473,4477963,4491015,4523798,4515837,4518678,4633612,4708047,4650718,4655151,4664457,4687858,4764380,4833058,4876756,4968676,5023830,4985099,4775267,4642202,4541953,4533906,4541268,4382835,4423204,4398598,4330282,4386308,4105326,4005586,3943794,3811029,3903869,3767146,3804696,3952606,4152550,4181175,3949948,3848709,3832513,3877314,4076692,4119240,4082874,4038961,4047352,4035244,3856653,3784521,3689557,3503414,3414131,3214656,3030083,2846962,2690951,2553101,2400306,2288839,2287373,1618424,1514500,1389384,1327463,1075335,904324,779161,660253,563224,456743,378410,310286,234461,187883,145895,110914,83297,134823
0,0,0,2030,354839778,4152723,4167271,4181795,4192728,4200567,4206683,4211797,4215585,4217539,4217073,4213676,4206820,4197221,4186554,4128409,4159781,4164976,4169731,4197143,4268456,4294346,4324596,4480916,4527257,4519007,4530847,4561995,4552028,4552739,4664974,4736583,4676052,4677417,4684029,4705473,4780171,4846936,4888748,4978946,5032468,4992091,4780827,4646487,4545189,4536149,4542218,4382408,4420280,4393095,4322631,4376263,4094877,3994450,3932174,3799403,3891137,3754345,3790746,3936523,4133708,4160121,3928132,3824745,3805541,3846577,4040434,4078714,4038791,3991310,3995022,3977797,3796310,3719140,3619129,3429727,3334973,3132561,2944653,2758078,2597651,2454096,2295997,2177467,2162382,1519506,1410732,1283556,1215281,974767,810869,690194,577076,485156,387245,315361,253831,187983,147424,111862,82976,139554
0,0,0,2031,356871287,4152617,4167576,4182848,4195016,4204324,4211508,4217693,4223207,4227590,4229980,4229444,4225809,4218748,4209568,4200259,4144957,4180965,4191904,4202724,4234919,4309240,4336624,4367272,4523138,4568694,4559261,4569472,4598566,4586457,4584570,4693909,4762115,4698565,4697229,4701899,4721607,4794401,4859251,4899453,4987920,5039666,4997486,4785129,4649777,4547710,4537422,4541665,4379948,4415066,4385528,4313331,4364912,4083729,3982977,3920365,3787604,3878042,3741088,3776044,3919478,4113515,4137232,3904098,3798283,3776071,3813198,4001286,4035285,3991769,3940450,3939065,3916193,3731479,3648951,3543759,3351043,3250551,3045038,2853580,2663309,2497768,2348308,2185178,2059482,2030790,1416128,1303999,1175849,1102330,874611,718885,603831,497550,411761,323092,258289,203792,147718,113217,83827,142461
0,0,0,2032,358855990,4152803,4167700,4183279,4196177,4206707,4215350,4222590,4229176,4235291,4240108,4242423,4241651,4237809,4231172,4223359,4217051,4166248,4208029,4225103,4240764,4276064,4351896,4379692,4410024,4564998,4609316,4598278,4606442,4633349,4618629,4613942,4719808,4784807,4718608,4715319,4718275,4736171,4807055,4870268,4908863,4995450,5045249,5001605,4788405,4652335,4549252,4537197,4539051,4375225,4407803,4376306,4302741,4352841,4072240,3971318,3908367,3775458,3864478,3727106,3760429,3901152,4091511,4112028,3877520,3769308,3743994,3777059,3959294,3988937,3941568,3886022,3878983,3849965,3661823,3573784,3463240,3267080,3160527,2951695,2756425,2561752,2390957,2235834,2067693,1935142,1893324,1309729,1195305,1067322,989763,775967,629500,521169,422711,343930,264943,207643,160378,113614,84987,144962
0,0,0,2033,360793508,4153719,4168105,4183525,4196718,4207959,4217810,4226507,4234148,4241332,4247881,4252624,4254698,4253721,4250306,4245049,4240257,4238668,4193447,4241396,4263382,4282191,4319098,4395340,4422831,4452392,4606025,4648685,4635622,4641596,4665845,4648310,4640254,4742833,4805006,4736914,4731906,4733069,4749149,4818412,4879984,4916813,5001362,5049545,5004694,4790923,4653898,4549293,4534926,4534148,4368471,4398895,4365796,4291433,4340425,4060554,3959469,3896012,3762872,3850180,3712233,3743591,3881083,4067211,4084165,3848381,3737728,3709197,3738227,3914458,3939427,3887814,3827529,3814318,3778778,3587167,3493431,3377276,3177488,3064474,2852067,2652201,2453033,2277333,2116518,1943787,1805120,1751834,1201306,1085710,959070,878802,680039,543863,443280,353461,282377,213272,163632,123543,85420,147441
0,0,0,2034,362684277,4155725,4169238,4184051,4197066,4208591,4219145,4229041,4238139,4246373,4253990,4260464,4264966,4266834,4266290,4264266,4262052,4262011,4266286,4226977,4279863,4305066,4325523,4362928,4438855,4465576,4493899,4645774,4686356,4671118,4674431,4695818,4674897,4663658,4763346,4823449,4753698,4746901,4746274,4760824,4828457,4888231,4923137,5005978,5052796,5007007,4792424,4653946,4547290,4530375,4527188,4360097,4388703,4354574,4279785,4327811,4048670,3947253,3883203,3749578,3834978,3696160,3725068,3858800,4040263,4053620,3816591,3703435,3671754,3696712,3866539,3886386,3830014,3764517,3744725,3702437,3507314,3407594,3285495,3081833,2961897,2745087,2540534,2337315,2156733,1990587,1814123,1671205,1607595,1091895,976310,852270,770814,588052,463078,371126,290549,227605,168302,126237,93040,149426
0,0,0,2035,364529040,4158903,4171455,4185307,4197694,4209026,4219854,4230449,4240741,4250436,4259100,4266642,4272872,4277170,4279472,4280332,4281368,4283936,4289796,4300312,4265633,4321758,4348668,4369666,4406824,4481960,4507447,4534111,4683803,4722156,4704264,4704714,4722669,4698549,4684526,4782085,4840360,4768879,4760292,4758161,4771187,4837032,4894839,4928147,5009551,5055273,5008287,4792393,4651939,4543024,4523786,4518586,4350453,4377797,4343018,4267938,4314990,4036406,3934575,3869664,3735417,3818548,3678419,3704383,3833948,4010651,4020308,3782044,3666517,3631678,3652285,3815163,3829302,3767690,3696633,3670029,3620760,3421974,3315900,3187458,2979615,2851656,2630363,2421588,2214406,2029376,1858713,1680497,1534600,1461973,982593,868280,748216,667167,501190,388149,305469,234485,179860,130033,95219,156210
0,0,0,2036,366329155,4163255,4174834,4187636,4199048,4209737,4220367,4231228,4242219,4253110,4263235,4271813,4279111,4285141,4289876,4293593,4297535,4303376,4311884,4324023,4339519,4307729,4365588,4393089,4413877,4450307,4524177,4548005,4572575,4719933,4755581,4734827,4731843,4746551,4719639,4703598,4799276,4855656,4782447,4772362,4768724,4780069,4843964,4900128,4932112,5012347,5056703,5008004,4790283,4647658,4536737,4515571,4508707,4340108,4366556,4331261,4255880,4301777,4023662,3921168,3855234,3720063,3800412,3658535,3681187,3806530,3978299,3984133,3744836,3626994,3588752,3604587,3759814,3767703,3700499,3623711,3590045,3533451,3330767,3217879,3082624,2869647,2733333,2508102,2295171,2084542,1895933,1722737,1544096,1396578,1316409,874564,762942,648243,569194,420533,319878,246876,185552,139174,98238,162339
0,0,0,2037,368086404,4168696,4179386,4191129,4201475,4211175,4221147,4231807,4243066,4254653,4265971,4276014,4284347,4291443,4297914,4304070,4310889,4319666,4331485,4346309,4363462,4382176,4351773,4410245,4437586,4457675,4492884,4565058,4586792,4609114,4753665,4786397,4762216,4755984,4767854,4738927,4721110,4814841,4869327,4794684,4783104,4777807,4787297,4849565,4904360,4935298,5014110,5056563,5005602,4785880,4641340,4528827,4506081,4498108,4329422,4355111,4319294,4243434,4288053,4010181,3906868,3839595,3703052,3780083,3636170,3655501,3776473,3943111,3945195,3704988,3584646,3542618,3553127,3700025,3701237,3628279,3545567,3504467,3440111,3233223,3112997,2969740,2751500,2607155,2378083,2161516,1948386,1758242,1583849,1406181,1258502,1172477,769124,661622,553633,478119,346957,258867,195653,143781,105309,168526
0,0,0,2038,369802627,4174893,4185014,4195789,4205068,4213684,4222659,4232652,4243707,4255562,4267577,4278813,4288607,4296741,4304281,4312185,4321460,4333140,4347927,4366101,4385969,4406366,4426764,4396659,4454995,4481670,4500555,4534113,4604147,4623624,4643224,4784755,4814008,4786585,4777522,4787329,4756633,4736986,4828783,4881657,4805582,4792357,4785230,4793198,4854112,4907818,4937451,5014307,5054306,5000872,4779422,4633394,4519653,4495873,4487161,4318535,4343459,4306938,4230493,4273553,3995792,3891355,3822264,3683898,3757212,3611329,3627255,3743703,3905195,3903511,3662269,3539121,3492798,3497452,3635446,3629746,3550849,3461915,3412903,3340252,3128788,2999940,2848351,2625437,2472881,2240526,2021285,1807824,1617512,1443327,1268097,1121845,1031910,667615,565636,465572,394941,281123,205446,151850,108966,177572
0,0,0,2039,371480151,4181748,4191391,4201524,4209818,4217356,4225236,4234229,4244613,4256266,4268545,4280480,4291465,4301060,4309640,4318621,4329666,4343827,4361554,4382732,4405982,4429113,4451208,4472150,4441649,4499332,4524825,4542073,4573526,4641258,4658003,4674666,4812615,4838571,4808328,4797212,4805216,4772695,4751231,4841380,4892636,4814986,4799941,4791314,4798042,4857883,4910246,4938058,5012395,5049713,4994053,4771334,4624176,4509766,4485320,4476002,4307436,4331408,4294080,4216784,4258104,3980175,3874152,3802753,3662250,3731802,3583949,3596387,3708335,3864572,3858837,3616314,3489918,3438827,3437227,3565919,3553049,3467924,3372368,3314863,3233279,3016108,2878254,2718765,2491195,2330733,2096126,1876451,1664072,1475016,1302532,1131319,988247,896487,571338,476194,385045,320410,223407,159696,115277,186098
0,0,0,2040,373121461,4189040,4198425,4208004,4215646,4222182,4228978,4236871,4246251,4257230,4269309,4281506,4293187,4303977,4314017,4324056,4336190,4352146,4372386,4396539,4422821,4449355,4474204,4496857,4517591,4486232,4542735,4566602,4581756,4610934,4675893,4689692,4702852,4837405,4860489,4828213,4815301,4821448,4787120,4764123,4852619,4902106,4822718,4806178,4796342,4802111,4860631,4911129,4936575,5008162,5043032,4985569,4761961,4614245,4499532,4474556,4464612,4295948,4318853,4280457,4202145,4241365,3962854,3854757,3780699,3638111,3703785,3553977,3563019,3670412,3821008,3810786,3566624,3436576,3380376,3372321,3491302,3470881,3379113,3276433,3209749,3117754,2894714,2748250,2580697,2348993,2181420,1946911,1728242,1518412,1332124,1162947,997478,859395,767937,481512,394292,312786,254981,173901,121430,196093
0,0,0,2041,374729443,4196725,4205887,4215137,4222211,4228085,4233866,4240670,4248951,4258926,4270331,4282323,4294267,4305754,4316991,4328496,4341705,4358781,4380847,4407545,4436831,4466419,4494689,4520106,4542555,4562567,4529877,4584755,4606533,4619415,4645845,4707809,4718096,4727939,4859535,4880532,4846482,4831726,4836033,4800185,4775660,4862341,4909896,4829101,4811366,4800597,4805160,4861842,4909931,4932787,5001856,5034690,4975790,4751868,4603962,4489084,4463563,4452816,4283960,4305533,4265902,4186246,4222843,3943320,3832807,3756102,3611424,3673114,3521539,3527204,3629709,3774111,3758827,3512718,3378766,3317320,3302590,3411316,3382838,3283920,3173514,3096107,2993176,2764922,2609639,2434361,2199517,2027071,1794129,1577964,1372245,1190335,1026238,868258,736950,647886,399166,320706,249253,198777,132424,206959
0,0,0,2042,376307468,4205073,4213737,4222694,4229431,4234722,4239830,4245617,4252808,4261683,4272080,4283394,4295137,4306888,4318821,4331535,4346224,4364402,4387616,4416177,4448033,4480649,4511983,4540836,4566063,4587785,4606553,4572130,4624907,4644412,4654551,4678012,4736417,4743378,4750349,4879772,4898947,4863075,4846499,4849253,4811887,4785682,4870378,4916335,4834428,4815781,4803832,4806682,4860977,4906445,4926947,4993897,5025058,4965276,4741410,4593455,4478407,4452163,4440500,4271217,4291280,4250082,4168598,4202001,3921197,3808294,3728902,3582132,3639917,3486687,3488734,3585854,3723348,3702455,3454267,3316363,3249525,3227791,3325576,3288416,3181723,3062118,2973429,2859890,2626452,2462627,2280468,2044923,1868957,1639130,1427053,1227091,1051341,894123,745326,622457,537697,325079,255907,194594,151609,221825
0,0,0,2043,377858943,4214071,4222245,4230637,4237070,4242012,4246530,4251638,4257808,4265594,4274888,4285193,4296259,4307808,4320010,4333428,4349340,4369018,4393367,4423110,4456860,4492059,4526439,4558371,4587038,4611541,4632017,4649109,4612499,4662993,4679744,4686919,4706850,4761882,4765971,4770853,4898370,4915682,4878007,4859898,4861104,4822067,4794010,4877052,4921709,4838984,4819174,4805546,4806139,4857836,4900909,4919480,4984663,5014695,4954393,4730723,4582714,4467320,4440238,4427399,4257554,4275771,4232501,4148678,4178451,3896471,3781147,3699037,3550370,3604244,3449222,3447244,3538323,3668231,3641325,3391126,3249237,3176742,3147546,3233582,3186990,3070996,2941744,2842095,2717571,2479486,2307928,2121230,1886474,1708460,1483364,1277071,1084672,916873,768297,630241,517230,438445,259747,200075,148644,245225
0,0,0,2044,379388202,4223766,4231401,4239234,4245090,4249717,4253878,4258392,4263879,4270646,4278850,4288050,4298106,4308979,4320978,4334675,4351311,4372232,4398111,4429012,4463981,4501090,4538068,4573053,4604814,4632759,4656013,4674805,4689754,4650785,4698512,4712291,4715934,4732519,4784639,4786643,4789707,4915279,4930748,4891562,4871920,4871422,4830545,4800972,4882663,4926302,4842518,4821041,4805194,4803327,4852663,4893759,4910757,4974717,5003969,4943271,4719792,4571549,4455700,4427539,4413360,4242657,4258508,4212633,4126087,4152175,3869069,3751310,3666634,3516192,3565885,3408772,3402222,3486639,3608403,3575282,3323175,3177145,3098611,3061388,3134708,3076982,2951206,2812771,2701770,2566418,2324726,2147775,1957921,1725527,1547063,1328444,1129785,946768,788673,650371,524330,422308,350808,203369,153069,258380
0,0,0,2045,380899844,4234213,4241244,4248479,4253767,4257799,4261636,4265791,4270683,4276762,4283948,4292057,4301005,4310873,4322196,4335700,4352629,4374296,4401445,4433906,4470061,4508400,4547311,4584909,4619730,4650771,4677460,4699027,4715666,4728284,4686482,4731215,4741465,4741765,4755465,4805460,4805653,4806864,4930510,4944424,4903735,4882406,4880029,4837643,4806870,4887496,4929873,4844521,4820841,4802572,4798494,4845896,4885367,4901333,4964421,4993001,4931883,4708421,4559849,4443308,4413912,4398057,4226036,4238966,4190080,4100813,4123096,3838933,3718909,3631746,3479404,3524454,3364835,3353197,3430461,3543716,3504204,3250166,3099726,3014655,2968713,3027368,2957866,2822754,2674844,2552641,2407138,2164439,1983453,1791939,1563567,1386435,1176185,987038,815160,668366,541714,428660,338369,275069,155824,269626
0,0,0,2046,382398644,4245397,4251842,4258407,4263087,4266542,4269777,4273599,4278130,4283611,4290109,4297198,4305055,4313814,4324137,4336968,4353721,4375703,4403620,4437388,4475124,4514670,4554825,4594358,4631810,4665919,4695697,4720690,4740095,4754390,4764202,4719344,4760525,4767429,4764859,4776462,4824609,4822960,4822347,4944351,4956713,4914359,4891175,4887249,4843673,4811992,4891310,4931904,4844458,4818371,4797942,4792082,4837904,4876295,4891580,4953905,4981775,4920039,4696494,4547363,4429992,4399031,4380998,4207167,4216742,4164816,4072770,4091146,3806181,3683981,3594165,3439623,3479438,3316938,3299843,3369662,3474045,3427809,3171710,3016502,2924276,2867983,2911034,2830038,2685264,2528144,2395388,2242124,1999892,1816338,1624805,1402254,1228440,1028473,850659,691521,557380,443425,343938,265712,211094,278549
