"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"369","2017-02-01 06:45:20","2017-02-01 06:51:29","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","75","Lafayette Square at Mass Ave / Main St / Columbia St","42.36346469304347","-71.10057324171066","1543","Subscriber","1981","1"
"142","2017-02-01 06:46:00","2017-02-01 06:48:23","139","Dana Park","42.361780439606044","-71.10809952020645","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","943","Subscriber","1982","1"
"197","2017-02-01 06:52:26","2017-02-01 06:55:44","89","Harvard Law School at Mass Ave / Jarvis St","42.379011","-71.119945","70","Harvard Kennedy School at Bennett St / Eliot St","42.37199165408676","-71.12226963043213","854","Subscriber","1980","1"
"532","2017-02-01 06:57:16","2017-02-01 07:06:08","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","734","Subscriber","1993","1"
"785","2017-02-01 07:02:52","2017-02-01 07:15:58","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","177","University Park","42.36264779118595","-71.10006093978882","754","Subscriber","1974","1"
"406","2017-02-01 07:21:52","2017-02-01 07:28:38","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","73","Harvard Square at Brattle St / Eliot St","42.373231","-71.120886","1111","Subscriber","1966","1"
"1494","2017-02-01 07:25:32","2017-02-01 07:50:26","145","Rindge Avenue - O'Neill Library","42.392766","-71.129042","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","1631","Subscriber","1976","1"
"3031","2017-02-01 07:27:10","2017-02-01 08:17:42","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","1092","Subscriber","1973","2"
"515","2017-02-01 07:27:53","2017-02-01 07:36:28","189","Kendall T","42.362427842912396","-71.08495473861694","184","Sidney Research Campus/ Erie Street at Waverly","42.35775309465199","-71.10393404960632","694","Subscriber","1978","2"
"470","2017-02-01 07:31:04","2017-02-01 07:38:55","179","MIT Vassar St","42.355601213279265","-71.10394477844238","107","Ames St at Main St","42.3625","-71.08822","1567","Subscriber","1985","1"
"370","2017-02-01 07:43:31","2017-02-01 07:49:42","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","189","Kendall T","42.362427842912396","-71.08495473861694","880","Subscriber","1987","2"
"572","2017-02-01 07:45:12","2017-02-01 07:54:45","176","Lesley University","42.38674802045056","-71.11901879310608","180","Mt Auburn","42.37478628706384","-71.13320231437683","1540","Subscriber","1975","1"
"270","2017-02-01 07:48:34","2017-02-01 07:53:05","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","762","Subscriber","1992","1"
"463","2017-02-01 07:53:41","2017-02-01 08:01:25","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","189","Kendall T","42.362427842912396","-71.08495473861694","1292","Subscriber","1989","2"
"373","2017-02-01 07:57:30","2017-02-01 08:03:44","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","1060","Subscriber","1955","1"
"333","2017-02-01 07:58:44","2017-02-01 08:04:18","96","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","683","Subscriber","1987","2"
"1023","2017-02-01 07:58:49","2017-02-01 08:15:53","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","115","Porter Square Station","42.387995","-71.119084","1631","Subscriber","1987","1"
"509","2017-02-01 08:00:26","2017-02-01 08:08:55","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","107","Ames St at Main St","42.3625","-71.08822","673","Subscriber","1988","2"
"479","2017-02-01 08:03:51","2017-02-01 08:11:50","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","1004","Subscriber","1965","1"
"650","2017-02-01 08:03:55","2017-02-01 08:14:45","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","195","Brian P. Murphy Staircase at Child Street","42.3720597013741","-71.07202649116516","1625","Subscriber","1967","2"
"745","2017-02-01 08:03:58","2017-02-01 08:16:23","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","943","Subscriber","1962","1"
"818","2017-02-01 08:04:41","2017-02-01 08:18:19","143","EF - North Point Park","42.369885","-71.069957","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","647","Subscriber","1979","2"
"205","2017-02-01 08:08:26","2017-02-01 08:11:52","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","1465","Subscriber","1983","1"
"1421","2017-02-01 08:09:28","2017-02-01 08:33:09","118","Linear Park - Mass. Ave. at Cameron Ave. ","42.397828","-71.130516","143","EF - North Point Park","42.369885","-71.069957","1108","Subscriber","1966","1"
"407","2017-02-01 08:10:18","2017-02-01 08:17:05","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","649","Subscriber","1992","2"
"584","2017-02-01 08:13:36","2017-02-01 08:23:21","115","Porter Square Station","42.387995","-71.119084","70","Harvard Kennedy School at Bennett St / Eliot St","42.37199165408676","-71.12226963043213","638","Subscriber","1980","2"
"343","2017-02-01 08:14:13","2017-02-01 08:19:57","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","762","Subscriber","1990","1"
"370","2017-02-01 08:15:32","2017-02-01 08:21:43","179","MIT Vassar St","42.355601213279265","-71.10394477844238","189","Kendall T","42.362427842912396","-71.08495473861694","961","Subscriber","1987","1"
"391","2017-02-01 08:15:40","2017-02-01 08:22:11","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","89","Harvard Law School at Mass Ave / Jarvis St","42.379011","-71.119945","1382","Subscriber","1988","2"
"743","2017-02-01 08:17:02","2017-02-01 08:29:26","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","141","Kendall Street","42.363560158429884","-71.08216792345047","888","Subscriber","1982","2"
"807","2017-02-01 08:17:41","2017-02-01 08:31:08","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","1288","Subscriber","1958","2"
"14215","2017-02-01 08:19:38","2017-02-01 12:16:33","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","1092","Subscriber","1973","2"
"442","2017-02-01 08:20:06","2017-02-01 08:27:28","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1047","Subscriber","1958","1"
"361","2017-02-01 08:20:44","2017-02-01 08:26:46","75","Lafayette Square at Mass Ave / Main St / Columbia St","42.36346469304347","-71.10057324171066","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","1543","Subscriber","1975","1"
"560","2017-02-01 08:20:51","2017-02-01 08:30:12","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","1670","Subscriber","1977","2"
"612","2017-02-01 08:20:51","2017-02-01 08:31:03","89","Harvard Law School at Mass Ave / Jarvis St","42.379011","-71.119945","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","1307","Subscriber","1971","2"
"290","2017-02-01 08:23:24","2017-02-01 08:28:14","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","647","Subscriber","1991","1"
"875","2017-02-01 08:24:34","2017-02-01 08:39:10","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1555","Subscriber","1968","2"
"511","2017-02-01 08:24:48","2017-02-01 08:33:20","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","1620","Subscriber","1991","1"
"230","2017-02-01 08:25:14","2017-02-01 08:29:05","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","778","Subscriber","1994","1"
"539","2017-02-01 08:25:14","2017-02-01 08:34:13","189","Kendall T","42.362427842912396","-71.08495473861694","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","961","Subscriber","1987","2"
"377","2017-02-01 08:25:23","2017-02-01 08:31:40","189","Kendall T","42.362427842912396","-71.08495473861694","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","756","Subscriber","1960","1"
"372","2017-02-01 08:26:08","2017-02-01 08:32:20","179","MIT Vassar St","42.355601213279265","-71.10394477844238","107","Ames St at Main St","42.3625","-71.08822","645","Subscriber","1987","2"
"360","2017-02-01 08:27:28","2017-02-01 08:33:28","107","Ames St at Main St","42.3625","-71.08822","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","1567","Subscriber","1950","1"
"385","2017-02-01 08:27:52","2017-02-01 08:34:18","176","Lesley University","42.38674802045056","-71.11901879310608","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","705","Subscriber","1993","2"
"623","2017-02-01 08:28:51","2017-02-01 08:39:15","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","863","Subscriber","1945","1"
"166","2017-02-01 08:29:12","2017-02-01 08:31:59","189","Kendall T","42.362427842912396","-71.08495473861694","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","880","Subscriber","1961","1"
"344","2017-02-01 08:29:37","2017-02-01 08:35:21","177","University Park","42.36264779118595","-71.10006093978882","107","Ames St at Main St","42.3625","-71.08822","754","Subscriber","1982","2"
"353","2017-02-01 08:30:57","2017-02-01 08:36:50","179","MIT Vassar St","42.355601213279265","-71.10394477844238","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","738","Subscriber","1981","1"
"297","2017-02-01 08:32:31","2017-02-01 08:37:28","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","1549","Subscriber","1992","1"
"456","2017-02-01 08:32:46","2017-02-01 08:40:22","139","Dana Park","42.361780439606044","-71.10809952020645","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","747","Subscriber","1965","1"
"435","2017-02-01 08:34:22","2017-02-01 08:41:38","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","1094","Subscriber","1981","2"
"202","2017-02-01 08:37:19","2017-02-01 08:40:41","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","778","Subscriber","1975","1"
"429","2017-02-01 08:37:54","2017-02-01 08:45:04","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","1088","Subscriber","1998","1"
"590","2017-02-01 08:38:54","2017-02-01 08:48:45","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","1287","Subscriber","1990","1"
"300","2017-02-01 08:40:52","2017-02-01 08:45:53","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","179","MIT Vassar St","42.355601213279265","-71.10394477844238","738","Subscriber","1987","1"
"352","2017-02-01 08:42:23","2017-02-01 08:48:16","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","1171","Subscriber","1992","1"
"12594","2017-02-01 08:42:56","2017-02-01 12:12:51","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","1619","Subscriber","1981","1"
"167","2017-02-01 08:45:11","2017-02-01 08:47:58","185","Third at Binney","42.36544486137399","-71.08277142047882","189","Kendall T","42.362427842912396","-71.08495473861694","1547","Subscriber","1993","1"
"328","2017-02-01 08:45:15","2017-02-01 08:50:44","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","956","Subscriber","1975","1"
"327","2017-02-01 08:45:22","2017-02-01 08:50:50","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","1288","Subscriber","1958","1"
"354","2017-02-01 08:48:43","2017-02-01 08:54:38","179","MIT Vassar St","42.355601213279265","-71.10394477844238","189","Kendall T","42.362427842912396","-71.08495473861694","739","Subscriber","1979","1"
"635","2017-02-01 08:49:09","2017-02-01 08:59:44","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","73","Harvard Square at Brattle St / Eliot St","42.373231","-71.120886","1543","Subscriber","1984","1"
"357","2017-02-01 08:49:51","2017-02-01 08:55:49","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","117","Binney St / Sixth St","42.366095","-71.086388","756","Subscriber","1978","1"
"347","2017-02-01 08:51:24","2017-02-01 08:57:12","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","1288","Subscriber","1969","1"
"435","2017-02-01 08:52:55","2017-02-01 09:00:11","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1110","Subscriber","1989","1"
"312","2017-02-01 08:53:48","2017-02-01 08:59:00","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","863","Subscriber","1957","2"
"189","2017-02-01 08:54:22","2017-02-01 08:57:32","108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","73","Harvard Square at Brattle St / Eliot St","42.373231","-71.120886","1171","Subscriber","1958","1"
"439","2017-02-01 08:54:24","2017-02-01 09:01:43","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","117","Binney St / Sixth St","42.366095","-71.086388","660","Subscriber","1986","2"
"483","2017-02-01 08:54:43","2017-02-01 09:02:47","189","Kendall T","42.362427842912396","-71.08495473861694","179","MIT Vassar St","42.355601213279265","-71.10394477844238","1547","Subscriber","1976","1"
"606","2017-02-01 08:55:31","2017-02-01 09:05:37","73","Harvard Square at Brattle St / Eliot St","42.373231","-71.120886","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","1111","Subscriber","1978","1"
"925","2017-02-01 08:55:50","2017-02-01 09:11:16","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","1648","Subscriber","1985","1"
"746","2017-02-01 08:56:13","2017-02-01 09:08:40","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","1670","Subscriber","1988","2"
"404","2017-02-01 08:56:18","2017-02-01 09:03:02","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","139","Dana Park","42.361780439606044","-71.10809952020645","723","Subscriber","1978","1"
"362","2017-02-01 08:57:28","2017-02-01 09:03:31","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","179","MIT Vassar St","42.355601213279265","-71.10394477844238","958","Subscriber","1981","1"
"1303","2017-02-01 08:57:41","2017-02-01 09:19:24","118","Linear Park - Mass. Ave. at Cameron Ave. ","42.397828","-71.130516","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","1536","Subscriber","1963","2"
"440","2017-02-01 09:00:45","2017-02-01 09:08:05","177","University Park","42.36264779118595","-71.10006093978882","189","Kendall T","42.362427842912396","-71.08495473861694","1569","Subscriber","1989","2"
"281","2017-02-01 09:01:39","2017-02-01 09:06:20","195","Brian P. Murphy Staircase at Child Street","42.3720597013741","-71.07202649116516","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","1625","Subscriber","1990","2"
"562","2017-02-01 09:03:16","2017-02-01 09:12:38","76","Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St","42.366426","-71.105495","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","683","Subscriber","1973","2"
"378","2017-02-01 09:04:32","2017-02-01 09:10:51","179","MIT Vassar St","42.355601213279265","-71.10394477844238","107","Ames St at Main St","42.3625","-71.08822","958","Subscriber","1994","1"
"429","2017-02-01 09:04:34","2017-02-01 09:11:44","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","107","Ames St at Main St","42.3625","-71.08822","1630","Subscriber","1985","1"
"97","2017-02-01 09:06:19","2017-02-01 09:07:57","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","177","University Park","42.36264779118595","-71.10006093978882","1567","Subscriber","1991","1"
"424","2017-02-01 09:07:11","2017-02-01 09:14:15","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","104","Harvard University Radcliffe Quadrangle at Shepard St / Garden St","42.380287","-71.125107","1620","Subscriber","1962","2"
"313","2017-02-01 09:07:33","2017-02-01 09:12:47","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","189","Kendall T","42.362427842912396","-71.08495473861694","1287","Subscriber","1996","1"
"432","2017-02-01 09:07:40","2017-02-01 09:14:52","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","1666","Subscriber","1997","0"
"275","2017-02-01 09:08:18","2017-02-01 09:12:54","184","Sidney Research Campus/ Erie Street at Waverly","42.35775309465199","-71.10393404960632","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","634","Subscriber","1988","1"
"370","2017-02-01 09:12:32","2017-02-01 09:18:43","177","University Park","42.36264779118595","-71.10006093978882","141","Kendall Street","42.363560158429884","-71.08216792345047","1638","Subscriber","1990","1"
"544","2017-02-01 09:15:02","2017-02-01 09:24:06","177","University Park","42.36264779118595","-71.10006093978882","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","1567","Subscriber","1991","1"
"457","2017-02-01 09:16:51","2017-02-01 09:24:29","88","Inman Square at Vellucci Plaza / Hampshire St","42.374035","-71.101427","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1088","Subscriber","1994","2"
"709","2017-02-01 09:17:31","2017-02-01 09:29:20","87","Harvard University Housing - 115 Putnam Ave at Peabody Terrace","42.366621","-71.114214","189","Kendall T","42.362427842912396","-71.08495473861694","1270","Subscriber","1993","1"
"168","2017-02-01 09:18:09","2017-02-01 09:20:57","189","Kendall T","42.362427842912396","-71.08495473861694","117","Binney St / Sixth St","42.366095","-71.086388","1287","Subscriber","1992","1"
"455","2017-02-01 09:18:38","2017-02-01 09:26:14","177","University Park","42.36264779118595","-71.10006093978882","141","Kendall Street","42.363560158429884","-71.08216792345047","1078","Subscriber","1989","1"
"599","2017-02-01 09:20:29","2017-02-01 09:30:28","195","Brian P. Murphy Staircase at Child Street","42.3720597013741","-71.07202649116516","72","One Broadway / Kendall Sq at Main St / 3rd St","42.362613","-71.084105","717","Subscriber","1978","2"
"632","2017-02-01 09:22:19","2017-02-01 09:32:52","115","Porter Square Station","42.387995","-71.119084","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","1631","Subscriber","1978","1"
"855","2017-02-01 09:22:58","2017-02-01 09:37:14","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","1666","Subscriber","1986","2"
"178","2017-02-01 09:26:02","2017-02-01 09:29:01","73","Harvard Square at Brattle St / Eliot St","42.373231","-71.120886","108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","1171","Subscriber","1968","1"
"174","2017-02-01 09:27:22","2017-02-01 09:30:16","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1288","Subscriber","1964","1"
"467","2017-02-01 09:28:06","2017-02-01 09:35:54","115","Porter Square Station","42.387995","-71.119084","110","Harvard University Gund Hall at Quincy St / Kirkland S","42.376369","-71.114025","1535","Subscriber","1986","1"
"352","2017-02-01 09:29:06","2017-02-01 09:34:59","179","MIT Vassar St","42.355601213279265","-71.10394477844238","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","738","Subscriber","1994","1"
"774","2017-02-01 09:29:35","2017-02-01 09:42:30","68","Central Square at Mass Ave / Essex St","42.36507","-71.1031","108","Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St","42.377945","-71.116865","634","Subscriber","1978","1"
"842","2017-02-01 09:30:28","2017-02-01 09:44:31","104","Harvard University Radcliffe Quadrangle at Shepard St / Garden St","42.380287","-71.125107","177","University Park","42.36264779118595","-71.10006093978882","1620","Subscriber","1982","1"
"488","2017-02-01 09:30:53","2017-02-01 09:39:02","95","Cambridge St - at Columbia St / Webster Ave","42.372969","-71.094445","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","1541","Subscriber","1992","2"
"768","2017-02-01 09:31:55","2017-02-01 09:44:44","96","Cambridge Main Library at Broadway / Trowbridge St","42.373379","-71.111075","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","883","Subscriber","1990","2"
"202","2017-02-01 09:33:05","2017-02-01 09:36:28","178","MIT Pacific St at Purrington St","42.35957320109044","-71.10129475593567","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","778","Subscriber","1994","2"
"470","2017-02-01 09:34:51","2017-02-01 09:42:42","91","One Kendall Square at Hampshire St / Portland St","42.366277","-71.09169","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","683","Subscriber","1981","1"
"262","2017-02-01 09:36:05","2017-02-01 09:40:28","179","MIT Vassar St","42.355601213279265","-71.10394477844238","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","1547","Subscriber","1981","1"
"782","2017-02-01 09:36:05","2017-02-01 09:49:07","183","Alewife MBTA at Steel Place","42.395588457167094","-71.14260613918304","73","Harvard Square at Brattle St / Eliot St","42.373231","-71.120886","657","Subscriber","1977","1"
"371","2017-02-01 09:36:15","2017-02-01 09:42:27","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","179","MIT Vassar St","42.355601213279265","-71.10394477844238","1288","Subscriber","1971","1"
"547","2017-02-01 09:37:12","2017-02-01 09:46:20","116","359 Broadway - Broadway at Fayette Street","42.370803","-71.104412","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","1307","Subscriber","1994","1"
"516","2017-02-01 09:37:42","2017-02-01 09:46:19","139","Dana Park","42.361780439606044","-71.10809952020645","97","Harvard University River Houses at DeWolfe St / Cowperthwaite St","42.36919031768079","-71.11714124679565","723","Subscriber","1983","1"
"771","2017-02-01 09:38:10","2017-02-01 09:51:02","67","MIT at Mass Ave / Amherst St","42.3581","-71.093198","74","Harvard Square at Mass Ave/ Dunster","42.373268","-71.118579","778","Subscriber","1995","1"
"308","2017-02-01 09:38:58","2017-02-01 09:44:07","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","117","Binney St / Sixth St","42.366095","-71.086388","1670","Subscriber","1985","1"
"352","2017-02-01 09:39:18","2017-02-01 09:45:10","189","Kendall T","42.362427842912396","-71.08495473861694","90","Lechmere Station at Cambridge St / First St","42.370677","-71.076529","1270","Subscriber","1981","1"
"250","2017-02-01 09:42:29","2017-02-01 09:46:40","179","MIT Vassar St","42.355601213279265","-71.10394477844238","80","MIT Stata Center at Vassar St / Main St","42.3619622","-71.0920526","764","Subscriber","1980","1"
"1052","2017-02-01 09:42:59","2017-02-01 10:00:31","105","Lower Cambridgeport at Magazine St/Riverside Rd","42.356954","-71.113687","84","CambridgeSide Galleria - CambridgeSide PL at Land Blvd","42.366981","-71.076472","1111","Subscriber","1975","1"
