Event,Distance,Sex,Ranking,Time 1,Miliseconds,Relay,When,Swimmer,id2,Swimmer nationality,Continent nationality,Date,Meet,Meet location
50 m freestyle,50,Female,25,23.96,23096,,Final,Marleen Veldhuis,Marleen_Veldhuis,Netherlands,Europe,"Sunday, April 19, 2009",Amsterdam Swim Cup,"Amsterdam, Netherlands"
50 m backstroke,50,Female,13,27.61,27061,,Final,Daniela Samulski,Daniela_Samulski,Germany,Europe,"Friday, June 26, 2009",Germany Championships,"Berlin, Germany"
50 m breaststroke,50,Female,5,30.23,30023,,Final,Amanda Reason,Amanda_Reason,Canada,America,"Wednesday, July 8, 2009",CAN World Championship Trials,"Montreal, Canada"
50 m backstroke,50,Female,14,27.39,27039,,Semifinal,Daniela Samulski,Daniela_Samulski,Germany,Europe,"Wednesday, July 29, 2009",World Championships,"Rome, Italy"
50 m backstroke,50,Female,15,27.38,27038,,Semifinal,Anastasia Zuyeva,Anastasia_Zuyeva,Russia,Europe,"Wednesday, July 29, 2009",World Championships,"Rome, Italy"
50 m backstroke,50,Female,16,27.06,27006,,Final,Zhao Jing,Zhao_Jing,China,Asia,"Thursday, July 30, 2009",World Championships,"Rome, Italy"
50 m butterfly,50,Female,9,25.07,25007,,Semifinal,Therese Alshammar,Therese_Alshammar,Sweden,Europe,"Friday, July 31, 2009",World Championships,"Rome, Italy"
50 m freestyle,50,Female,26,23.73,23073,,Final,Britta Steffen,Britta_Steffen,Germany,Europe,"Sunday, August 2, 2009",World Championships,"Rome, Italy"
50 m breaststroke,50,Female,6,30.09,30009,,Final,Yuliya Yefimova,Yuliya_Yefimova,Russia,Europe,"Sunday, August 2, 2009",World Championships,"Rome, Italy"
50 m breaststroke,50,Female,7,29.95,29095,,Time Trial,Jessica Hardy,Jessica_Hardy,United States,America,"Thursday, August 6, 2009",US Open Time Trials,"Federal Way, United States"
50 m breaststroke,50,Female,8,29.8,29008,,En route to final mark,Jessica Hardy,Jessica_Hardy,United States,America,"Friday, August 7, 2009",US Open Time Trials,"Federal Way, United States"
50 m breaststroke,50,Female,10,29.48,29048,,Semifinal,Rūta Meilutytė,Rūta_Meilutytė,Lithuania,Europe,"Saturday, August 3, 2013",World Championships,"Barcelona, Spain"
50 m breaststroke,50,Female,9,29.78,29078,,Heat,Yuliya Yefimova,Yuliya_Yefimova,Russia,Europe,"Saturday, August 3, 2013",World Championships,"Barcelona, Spain"
50 m butterfly,50,Female,10,24.43,24043,,Final,Sarah Sjöström,Sarah_Sjöström,Sweden,Europe,"Saturday, July 5, 2014",Swedish Swimming Championships,"BorÃÂ¥s, Sweden"
50 m freestyle,50,Male,1,00:23.9,23086,,En route to final mark,Jonty Skinner,Jonty_Skinner,South Africa,Africa,"Saturday, August 14, 1976",AAU Nationals,"Philadelphia, PA, United States"
50 m freestyle,50,Male,2,00:23.7,23074,,Final,Joe Bottom,Joe_Bottom,United States,America,"Sunday, July 3, 1977",-,"Etobicoke, Canada"
50 m freestyle,50,Male,3,00:23.7,23072,,Final,Ron Manganiello,Ron_Manganiello,United States,America,"Saturday, July 29, 1978",-,"Miami, FL, United States"
50 m freestyle,50,Male,4,00:23.7,23007,,Final,Klaus Steinbach,Klaus_Steinbach,West Germany,Europe,"Monday, July 23, 1979",-,"Freiburg, West Germany"
50 m freestyle,50,Male,5,00:23.7,23066,,Final,Chris Cavanaugh,Chris_Cavanaugh,United States,America,"Saturday, February 2, 1980",International Invitational,"Amersfoort, Netherlands"
50 m freestyle,50,Male,6,00:23.1,23012,,Heat,Chris Cavanaugh,Chris_Cavanaugh,United States,America,"Thursday, April 10, 1980",USA Spring Nationals,"Austin, TX, United States"
50 m freestyle,50,Male,7,00:23.0,22096,,Heat,Rowdy Gaines,Rowdy_Gaines,United States,America,"Thursday, April 10, 1980",USA Spring Nationals,"Austin, TX, United States"
50 m freestyle,50,Male,8,00:22.8,22083,,Heat,Bruce Stahl,Bruce_Stahl,United States,America,"Thursday, April 10, 1980",USA Spring Nationals,"Austin, TX, United States"
50 m freestyle,50,Male,8.1,00:22.8,22083,,Heat,Joe Bottom,Joe_Bottom,United States,America,"Friday, August 15, 1980",Hawaiian Invitational,"Honolulu, HI, United States"
50 m freestyle,50,Male,9,00:22.7,22071,,Final,Joe Bottom,Joe_Bottom,United States,America,"Friday, August 15, 1980",Hawaiian Invitational,"Honolulu, HI, United States"
50 m freestyle,50,Male,10,00:22.5,22054,,Heat,Robin Leamy,Robin_Leamy,United States,America,"Saturday, August 15, 1981",USA Nationals,"Brown Deer, WI, United States"
50 m freestyle,50,Male,11,00:22.5,22052,,Final,Dano Halsall,Dano_Halsall,Switzerland,Europe,"Sunday, July 21, 1985",SUI Nationals,"Bellinzona, Switzerland"
50 m freestyle,50,Male,12,00:22.4,22004,,Final,Tom Jager,Tom_Jager,United States,America,"Friday, December 6, 1985",USS Invitational,"Austin, TX, United States"
50 m freestyle,50,Male,13,00:22.3,22033,,Final,Matt Biondi,Matt_Biondi,United States,America,"Thursday, June 26, 1986",USA World Championship Trials,"Orlando, FL, United States"
50 m freestyle,50,Male,13.1,00:22.3,22033,,Final,Matt Biondi,Matt_Biondi,United States,America,"Thursday, July 30, 1987",USA Nationals & Pan Pacific Trials,"Clovis, CA, United States"
50 m freestyle,50,Male,14,00:22.3,22032,,Final,Tom Jager,Tom_Jager,United States,America,"Thursday, August 13, 1987",Pan Pacific Championships,"Brisbane, Australia"
50 m freestyle,50,Male,15,00:22.2,22023,,Final,Tom Jager,Tom_Jager,United States,America,"Friday, March 25, 1988",USA Spring Nationals,"Orlando, FL, United States"
50 m freestyle,50,Male,15.1,00:22.2,22018,,Final,Peter Williams,Peter_Williams,South Africa,Africa,"Sunday, April 10, 1988",CSCA Invitational,"Indianapolis, IN, United States"
50 m freestyle,50,Male,16,00:22.1,22014,,Final,Matt Biondi,Matt_Biondi,United States,America,"Saturday, September 24, 1988",Olympic Games,"Seoul, South Korea"
50 m freestyle,50,Male,17,00:22.1,22012,,Final,Tom Jager,Tom_Jager,United States,America,"Sunday, August 20, 1989",Pan Pacific Championships,"Tokyo, Japan"
50 m freestyle,50,Male,18,00:22.0,21098,,Semifinal,Tom Jager,Tom_Jager,United States,America,"Saturday, March 24, 1990",US Sprint,"Nashville, TN, United States"
50 m freestyle,50,Male,19,00:21.8,21081,,Final,Tom Jager,Tom_Jager,United States,America,"Saturday, March 24, 1990",US Sprint,"Nashville, TN, United States"
50 m backstroke,50,Male,WBT,00:25.1,25013,,Final,Jeff Rouse,Jeff_Rouse,United States,America,"Thursday, April 15, 1993",Robert Burns Invitational,"Edinburgh, United Kingdom"
50 m breaststroke,50,Male,WBT,27.61,27061,,En route to final mark,Alexander Dzhaburiya,Alexander_Dzhaburiya,Ukraine,Europe,"Saturday, April 27, 1996",Ukraine Olympic Trials,"Kharkov, Ukraine"
50 m butterfly,50,Male,WBT,23.68,23006,,Final,Denis Pankratov,Denis_Pankratov,Russia,Europe,"Saturday, August 10, 1996",Meet of Champions,"Mulhouse, France"
50 m backstroke,50,Male,1,00:25.0,24099,,Time Trial,Lenny Krayzelburg,Lenny_Krayzelburg,United States,America,"Saturday, August 28, 1999",Pan Pacific Championships,"Sydney, Australia"
50 m butterfly,50,Male,1,23.6,23044,,Final,Geoff Huegill,Geoff_Huegill,Australia,Oceania,"Sunday, May 14, 2000",Australia Championships,"Sydney, Australia"
50 m freestyle,50,Male,20,00:21.6,21064,,Time Trial,Alexander Popov,Alexander_Popov,Russia,Europe,"Thursday, June 1, 2000",Russian Olympic Trials,"Moscow, Russia"
50 m breaststroke,50,Male,1,27.49,27049,,Final,Anthony Robinson,Anthony_Robinson,United States,America,"Thursday, March 29, 2001",USA Nationals & World Championship Trials,"Austin, United States"
50 m breaststroke,50,Male,2,27.39,27039,,Time Trial,Ed Moses,Ed_Moses,United States,America,"Saturday, March 31, 2001",USA Nationals & World Championship Trials,"Austin, United States"
50 m butterfly,50,Male,2,23.44,23043,,Semifinal,Geoff Huegill,Geoff_Huegill,Australia,Oceania,"Friday, July 27, 2001",World Championships,"Fukuoka, Japan"
50 m breaststroke,50,Male,3,27.18,27018,,Final,Oleg Lisogor,Oleg_Lisogor,Ukraine,Europe,"Friday, August 2, 2002",European Championships,"Berlin, Germany"
50 m butterfly,50,Male,3,23.43,23003,,Final,Matt Welsh,Matt_Welsh,Australia,Oceania,"Monday, July 21, 2003",World Championships,"Barcelona, Spain"
50 m backstroke,50,Male,2,00:24.8,24008,,Final,Thomas Rupprath,Thomas_Rupprath,Germany,Europe,"Sunday, July 27, 2003",World Championships,"Barcelona, Spain"
50 m butterfly,50,Male,4,23.3,23001,,Final,Ian Crocker,Ian_Crocker,United States,America,"Sunday, February 29, 2004",Big 12 Time Trials,"Austin, United States"
50 m butterfly,50,Male,5,23.01,22096,,Semifinal,Roland Schoeman,Roland_Schoeman,South Africa,Africa,"Sunday, July 24, 2005",World Championships,"Montreal, Canada"
50 m butterfly,50,Male,6,22.96,22043,,Final,Roland Schoeman,Roland_Schoeman,South Africa,Africa,"Monday, July 25, 2005",World Championships,"Montreal, Canada"
50 m freestyle,50,Male,21,00:21.6,21056,,Final,Eamon Sullivan,Eamon_Sullivan,Australia,Oceania,"Sunday, February 17, 2008",New South Wales State Championships,"Sydney, Australia"
50 m freestyle,50,Male,22,00:21.5,21005,,Semifinal,Alain Bernard,Alain_Bernard,France,Europe,"Sunday, March 23, 2008",European Championships,"Eindhoven, Netherlands"
50 m freestyle,50,Male,23,00:21.4,21041,,Semifinal,Eamon Sullivan,Eamon_Sullivan,Australia,Oceania,"Thursday, March 27, 2008",Australian Championships & Olympic Trials,"Sydney, Australia"
50 m freestyle,50,Male,24,00:21.3,21028,,Final,Eamon Sullivan,Eamon_Sullivan,Australia,Oceania,"Friday, March 28, 2008",Australian Championships & Olympic Trials,"Sydney, Australia"
50 m backstroke,50,Male,3,00:24.5,24047,,"Heat, en route to final mark",Liam Tancock,Liam_Tancock,United Kingdom,Europe,"Wednesday, April 2, 2008",British Championships,"Sheffield, United Kingdom"
50 m backstroke,50,Male,4,00:24.3,24033,,Final,Randall Bal,Randall_Bal,United States,America,"Friday, December 5, 2008",Dutch Swimming Cup,"Eindhoven, Netherlands"
50 m butterfly,50,Male,7,22.43,22043,,Semifinal,Rafael Muñoz,Rafael_Muñoz,Spain,Europe,"Sunday, April 5, 2009",Spain Nationals,"Málaga, Spain"
50 m breaststroke,50,Male,4,27.06,27006,,Semifinal,Cameron van der Burgh,Cameron_van_der_Burgh,South Africa,Africa,"Saturday, April 18, 2009",South African Championships,"Durban, South Africa"
50 m freestyle,50,Male,25,00:20.9,20094,,Final,Frédérick Bousquet,Frédérick_Bousquet,France,Europe,"Sunday, April 26, 2009",French Championships,"Montpellier, France"
50 m breaststroke,50,Male,5,26.89,26089,,Semifinal,Felipe França,Felipe_França,Brazil,America,"Friday, May 8, 2009",Brazil Championships (Maria Lenk),"Rio de Janeiro, Brazil"
50 m breaststroke,50,Male,6,26.74,26074,,Semifinal,Cameron van der Burgh,Cameron_van_der_Burgh,South Africa,Africa,"Tuesday, July 28, 2009",World Aquatics Championships,"Rome, Italy"
50 m breaststroke,50,Male,7,26.67,26067,,Final,Cameron van der Burgh,Cameron_van_der_Burgh,South Africa,Africa,"Wednesday, July 29, 2009",World Aquatics Championships,"Rome, Italy"
50 m backstroke,50,Male,5,00:24.1,24008,,Semifinal,Liam Tancock,Liam_Tancock,United Kingdom,Europe,"Saturday, August 1, 2009",World Championships,"Rome, Italy"
50 m backstroke,50,Male,6,00:24.0,24004,,Final,Liam Tancock,Liam_Tancock,United Kingdom,Europe,"Sunday, August 2, 2009",World Championships,"Rome, Italy"
50 m freestyle,50,Male,26,00:20.9,20091,,Final,César Cielo,César_Cielo,Brazil,America,"Friday, December 18, 2009",CBDA Open - Brazilian Championships,"São Paulo, Brazil"
50 m breaststroke,50,Male,8,26.62,26062,,Semifinal,Adam Peaty,Adam_Peaty,United Kingdom,Europe,"Monday, August 18, 2014",European Championships,"Berlin, Germany"
50 m breaststroke,50,Male,8.1,26.62,26062,,Heat,Cameron van der Burgh,Cameron_van_der_Burgh,South Africa,Africa,"Tuesday, August 4, 2015",World Championships,"Kazan, Russia"
50 m breaststroke,50,Male,9,26.42,26042,,Semifinal,Adam Peaty,Adam_Peaty,United Kingdom,Europe,"Tuesday, August 4, 2015",World Championships,"Kazan, Russia"
100 m freestyle,100,Female,1,01:35.00,95000,,Final,Martha Gerstung,Martha_Gerstung,Germany,Europe,"Sunday, October 18, 1908",-,"Magdeburg, Germany"
100 m freestyle,100,Female,2,01:26.60,86006,,Final,Claire Guttenstein,Claire_Guttenstein,Belgium,Europe,"Sunday, October 2, 1910",-,"Schaerbeek, Belgium"
100 m freestyle,100,Female,3,01:24.60,84006,,Final,Daisy Curwen,Daisy_Curwen,United Kingdom,Europe,"Friday, September 29, 1911",-,"Liverpool, United Kingdom"
100 m freestyle,100,Female,4,01:20.60,80006,,Final,Daisy Curwen,Daisy_Curwen,United Kingdom,Europe,"Monday, June 10, 1912",-,"Birkenhead, United Kingdom"
100 m freestyle,100,Female,5,01:19.80,79008,,Final,Fanny Durack,Fanny_Durack,Australia,Oceania,"Tuesday, July 9, 1912",Olympic Games,"Stockholm, Sweden"
100 m freestyle,100,Female,6,01:18.80,78008,,Final,Fanny Durack,Fanny_Durack,Australia,Oceania,"Sunday, July 21, 1912",-,"Hamburg, Germany"
100 m freestyle,100,Female,7,01:16.20,76002,,Final,Fanny Durack,Fanny_Durack,Australia,Oceania,"Saturday, February 6, 1915",NSW Ladies' Amateur Championships,"Sydney, Australia"
100 m freestyle,100,Female,8,01:14.40,74004,,Semifinal,Ethelda Bleibtrey,Ethelda_Bleibtrey,United States,America,"Monday, August 23, 1920",Olympic Games,"Antwerp, Belgium"
100 m freestyle,100,Female,9,01:13.60,73006,,Final,Ethelda Bleibtrey,Ethelda_Bleibtrey,United States,America,"Wednesday, August 25, 1920",Olympic Games,"Antwerp, Belgium"
100 m freestyle,100,Female,10,01:12.80,72008,,Final,Gertrude Ederle,Gertrude_Ederle,United States,America,"Saturday, June 30, 1923",-,"Newark, New Jersey, United States"
100 m freestyle,100,Female,11,01:12.20,72002,,Heat,Mariechen Wehselau,Mariechen_Wehselau,United States,America,"Saturday, July 19, 1924",Olympic Games,"Paris, France"
100 m freestyle,100,Female,12,01:10.00,70000,,Final,Ethel Lackie,Ethel_Lackie,United States,America,"Thursday, January 28, 1926",-,"Toledo, OH, United States"
100 m freestyle,100,Female,13,01:09.80,69008,,Final,Eleanor Garatti,Eleanor_Garatti,United States,America,"Wednesday, August 7, 1929",National AAU women's swimming meet,"Honolulu, Hawaii"
100 m freestyle,100,Female,14,01:09.40,69004,,Final,Albina Osipowich,Albina_Osipowich,United States,America,"Sunday, August 25, 1929",-,"San Francisco, United States"
100 m freestyle,100,Female,15,01:08.00,68000,,Final,Helene Madison,Helene_Madison,United States,America,"Friday, March 14, 1930",National AAU Women's Indoor Swimming and Diving Championships,"Miami Beach, United States"
100 m freestyle,100,Female,16,01:06.60,66006,,Final,Helene Madison,Helene_Madison,United States,America,"Monday, April 20, 1931",-,"Boston, United States"
100 m freestyle,100,Female,17,01:06.00,66000,,Final,Willy den Ouden,Willy_den_Ouden,Netherlands,Europe,"Sunday, July 9, 1933",-,"Antwerp, Belgium"
100 m freestyle,100,Female,18,01:05.40,65004,,Final,Willy den Ouden,Willy_den_Ouden,Netherlands,Europe,"Saturday, February 24, 1934",-,"Amsterdam, Netherlands"
100 m freestyle,100,Female,19,01:04.80,64008,,Final,Willy den Ouden,Willy_den_Ouden,Netherlands,Europe,"Sunday, April 15, 1934",-,"Rotterdam, Netherlands"
100 m freestyle,100,Female,20,01:04.60,64006,,Final,Willy den Ouden,Willy_den_Ouden,Netherlands,Europe,"Thursday, February 27, 1936",-,"Amsterdam, Netherlands"
100 m freestyle,100,Female,21,01:04.50,64005,,Final,Dawn Fraser,Dawn_Fraser,Australia,Oceania,"Tuesday, February 21, 1956",Australian Championships,"Sydney, Australia"
100 m freestyle,100,Female,22,01:04.20,64002,,Final,Cocky Gastelaars,Cocky_Gastelaars,Netherlands,Europe,"Saturday, March 3, 1956",-,"Amsterdam, Netherlands"
100 m freestyle,100,Female,23,01:04.00,64000,,Final,Cocky Gastelaars,Cocky_Gastelaars,Netherlands,Europe,"Saturday, April 14, 1956",-,"Schiedam, Netherlands"
100 m freestyle,100,Female,24,01:03.30,63003,,Final,Dawn Fraser,Dawn_Fraser,Australia,Oceania,"Saturday, August 25, 1956",Australian Olympic Squad Swimming Carnival,"Townsville, Australia"
100 m freestyle,100,Female,25,01:03.20,63002,,Final,Lorraine Crapp,Lorraine_Crapp,Australia,Oceania,"Saturday, October 20, 1956",Australian Olympic Squad Swimming Carnival,"Sydney, Australia"
100 m freestyle,100,Female,26,01:02.40,62004,,Final,Lorraine Crapp,Lorraine_Crapp,Australia,Oceania,"Thursday, October 25, 1956",Australian Olympic Trials,"Melbourne, Australia"
100 m freestyle,100,Female,27,01:02.00,62000,,Final,Dawn Fraser,Dawn_Fraser,Australia,Oceania,"Saturday, December 1, 1956",Olympic Games,"Melbourne, Australia"
100 m butterfly,100,Female,1,01:10.50,70005,,,Atie Voorbij,Atie_Voorbij,Netherlands,Europe,"Sunday, August 4, 1957",,"Rhenen, Netherlands"
100 m freestyle,100,Female,28,01:01.50,61005,,Set in a pool measured in yards,Dawn Fraser,Dawn_Fraser,Australia,Oceania,"Tuesday, February 18, 1958",Australian Championships,"Melbourne, Australia"
100 m butterfly,100,Female,2,01:09.60,69006,,,Nancy Ramey,Nancy_Ramey,United States,America,"Saturday, June 28, 1958",,"Los Angeles, United States"
100 m breaststroke,100,Female,1,01:20.30,80003,,,Karin Beyer,Karin_Beyer,East Germany,Europe,"Sunday, July 20, 1958",,"Berlin, East Germany"
100 m freestyle,100,Female,29,01:01.40,61004,,Set in a pool measured in yards,Dawn Fraser,Dawn_Fraser,Australia,Oceania,"Monday, July 21, 1958",British Empire & Commonwealth Games,"Cardiff, United Kingdom"
100 m freestyle,100,Female,30,01:01.20,61002,,Final,Dawn Fraser,Dawn_Fraser,Australia,Oceania,"Sunday, August 10, 1958",-,"Schiedam, Netherlands"
